date,close,symbol
,META,
2023-11-07,316.86663818359375,META
2023-11-08,317.82073974609375,META
2023-11-09,318.58599853515625,META
2023-11-10,326.75567626953125,META
2023-11-13,327.1730651855469,META
2023-11-14,334.24945068359375,META
2023-11-15,330.6715393066406,META
2023-11-16,332.1424560546875,META
2023-11-17,332.9872131347656,META
2023-11-20,337.8869934082031,META
2023-11-21,334.9153137207031,META
2023-11-22,339.397705078125,META
2023-11-24,336.15771484375,META
2023-11-27,332.6493225097656,META
2023-11-28,336.9129943847656,META
2023-11-29,330.1646423339844,META
2023-11-30,325.1455383300781,META
2023-12-01,322.8298645019531,META
2023-12-04,318.0592041015625,META
2023-12-05,316.3398132324219,META
2023-12-06,315.5050048828125,META
2023-12-07,324.5889892578125,META
2023-12-08,330.7113037109375,META
2023-12-11,323.28704833984375,META
2023-12-12,332.1722412109375,META
2023-12-13,332.6890563964844,META
2023-12-14,331.1286926269531,META
2023-12-15,332.8679504394531,META
2023-12-18,342.5085144042969,META
2023-12-19,348.2133483886719,META
2023-12-20,347.1399841308594,META
2023-12-21,351.9205017089844,META
2023-12-22,351.2248229980469,META
2023-12-26,352.6560363769531,META
2023-12-27,355.6375427246094,META
2023-12-28,356.1246032714844,META
2023-12-29,351.7912902832031,META
2024-01-02,344.1683349609375,META
2024-01-03,342.3594665527344,META
2024-01-04,344.99322509765625,META
2024-01-05,349.7936096191406,META
2024-01-08,356.4624938964844,META
2024-01-09,355.2400207519531,META
2024-01-10,368.2001953125,META
2024-01-11,367.4050598144531,META
2024-01-12,372.1955261230469,META
2024-01-16,365.2085876464844,META
2024-01-17,366.11297607421875,META
2024-01-18,373.82550048828125,META
2024-01-19,381.10064697265625,META
2024-01-22,379.44085693359375,META
2024-01-23,382.83990478515625,META
2024-01-24,388.3062438964844,META
2024-01-25,390.77099609375,META
2024-01-26,391.72515869140625,META
2024-01-29,398.5629577636719,META
2024-01-30,397.6088562011719,META
2024-01-31,387.7496643066406,META
2024-02-01,392.3611755371094,META
2024-02-02,472.0797424316406,META
