date,close,symbol
,002624.SZ,
2023-11-07,12.158940315246582,002624.SZ
2023-11-08,12.963300704956055,002624.SZ
2023-11-09,12.823004722595215,002624.SZ
2023-11-10,12.6640043258667,002624.SZ
2023-11-13,12.720122337341309,002624.SZ
2023-11-14,12.626591682434082,002624.SZ
2023-11-15,12.420825004577637,002624.SZ
2023-11-16,12.392765998840332,002624.SZ
2023-11-17,12.402119636535645,002624.SZ
2023-11-20,12.514355659484863,002624.SZ
2023-11-21,12.41147232055664,002624.SZ
2023-11-22,12.346000671386719,002624.SZ
2023-11-23,12.336647033691406,002624.SZ
2023-11-24,12.046703338623047,002624.SZ
2023-11-27,11.85964298248291,002624.SZ
2023-11-28,11.925114631652832,002624.SZ
2023-11-29,11.897055625915527,002624.SZ
2023-11-30,11.794172286987305,002624.SZ
2023-12-01,12.420825004577637,002624.SZ
2023-12-04,12.476943969726562,002624.SZ
2023-12-05,11.94382095336914,002624.SZ
2023-12-06,12.271177291870117,002624.SZ
2023-12-07,12.495649337768555,002624.SZ
2023-12-08,12.392765998840332,002624.SZ
2023-12-11,12.794946670532227,002624.SZ
2023-12-12,13.000712394714355,002624.SZ
2023-12-13,12.804298400878906,002624.SZ
2023-12-14,12.757534980773926,002624.SZ
2023-12-15,12.757534980773926,002624.SZ
2023-12-18,12.439531326293945,002624.SZ
2023-12-19,12.626591682434082,002624.SZ
2023-12-20,12.2337646484375,002624.SZ
2023-12-21,12.458237648010254,002624.SZ
2023-12-22,11.21428394317627,002624.SZ
2023-12-25,10.662455558776855,002624.SZ
2023-12-26,10.475395202636719,002624.SZ
2023-12-27,10.522159576416016,002624.SZ
2023-12-28,10.606337547302246,002624.SZ
2023-12-29,11.073988914489746,002624.SZ
2024-01-02,11.027222633361816,002624.SZ
2024-01-03,11.21428394317627,002624.SZ
2024-01-04,11.055282592773438,002624.SZ
2024-01-05,10.793397903442383,002624.SZ
2024-01-08,10.55021858215332,002624.SZ
2024-01-09,10.409923553466797,002624.SZ
2024-01-10,10.260274887084961,002624.SZ
2024-01-11,10.531513214111328,002624.SZ
2024-01-12,10.335099220275879,002624.SZ
2024-01-15,10.307040214538574,002624.SZ
2024-01-16,10.045154571533203,002624.SZ
