date,symbol,open,high,low,close,volume,ma20,ma50,ma200,rsi14,support_level_primary,support_level_secondary,volume_ma20,volume_spike_ratio,close_percentile,close_norm
2024-05-14,002624.SZ,9.27820642437217,9.446561260564351,9.231441092988288,9.362383842468262,41689437,9.362383842468262,9.362383842468262,9.362383842468262,,9.362383842468262,10.29862222671509,41689437.0,1.0,0.2190082644628099,1.0
2024-05-15,002624.SZ,9.371737327445073,9.558797765802609,9.240794574607534,9.250147819519043,37188365,9.306265830993652,9.306265830993652,9.306265830993652,,9.250147819519043,10.175162601470948,39438901.0,0.9429361381038482,0.2128099173553719,0.9880120250528386
2024-05-16,002624.SZ,9.194029816093833,9.27820724160434,9.119205636078846,9.14726448059082,31690762,9.253265380859375,9.253265380859375,9.253265380859375,,9.14726448059082,10.061990928649903,36856188.0,0.8598491520609782,0.2024793388429752,0.9770230140638275
2024-05-17,002624.SZ,9.147263914539627,9.212735736982152,9.006968808686917,9.20338249206543,24883130,9.240794658660889,9.240794658660889,9.240794658660889,,9.14726448059082,10.061990928649903,33862923.5,0.7348193076123507,0.2066115702479339,0.9830170015374082
2024-05-20,002624.SZ,9.203381931739154,9.334323784703058,9.100498027868117,9.212735176086426,27081396,9.235182762145996,9.235182762145996,9.235182762145996,,9.14726448059082,10.061990928649903,32506618.0,0.833104077452782,0.20867768595041322,0.9840159654955587
2024-05-21,002624.SZ,9.259500904410634,9.353031576970176,9.175324369476566,9.222088813781738,28525399,9.23300043741862,9.23300043741862,9.23300043741862,,9.14726448059082,10.061990928649903,31843081.5,0.8958115124630761,0.21074380165289255,0.9850150313160482
2024-05-22,002624.SZ,9.184676170349121,9.203382660524971,9.091146395393514,9.184676170349121,22962464,9.226096970694405,9.226096970694405,9.226096970694405,,9.14726448059082,10.061990928649903,30574421.85714286,0.7510351007548312,0.20454545454545456,0.9810189717587684
2024-05-23,002624.SZ,9.156617414320776,9.156617414320776,8.960203725475301,8.997615814208984,27512522,9.197536826133728,9.197536826133728,9.197536826133728,,8.997615814208984,9.897377395629883,30191684.375,0.9112615797872324,0.20041322314049587,0.9610389795593863
2024-05-24,002624.SZ,8.941497971045713,9.03502774526033,8.922791481018066,8.922791481018066,16259524,9.167009565565321,9.167009565565321,9.167009565565321,,8.922791481018066,9.815070629119873,28643666.555555556,0.5676481384973531,0.1921487603305785,0.9530469623071657
2024-05-27,002624.SZ,8.950850329773514,8.978910064832817,8.726377801146329,8.876026153564453,22507713,9.137911224365235,9.137911224365235,9.137911224365235,,8.876026153564453,9.7636287689209,28030071.2,0.8029845104353499,0.19008264462809918,0.9480519387917354
2024-05-28,002624.SZ,8.922791896722956,8.922791896722956,8.773143537427954,8.791849136352539,14821052,9.106451034545898,9.106451034545898,9.106451034545898,,8.791849136352539,9.671034049987794,26829251.272727273,0.5524213795360752,0.18801652892561985,0.9390609575813643
2024-05-29,002624.SZ,8.791849136352539,8.885379806899206,8.763790291978372,8.791849136352539,14770649,9.080234209696451,9.080234209696451,9.080234209696451,,8.791849136352539,9.671034049987794,25824367.75,0.5719655614802032,0.18801652892561985,0.9390609575813643
2024-05-30,002624.SZ,8.726377326127723,8.79184825375312,8.6515531539917,8.6515531539917,18752583,9.047258743873009,9.047258743873009,9.047258743873009,,8.6515531539917,9.51670846939087,25280384.307692308,0.74178393697496,0.1756198347107438,0.9240758870350736
