symbol,name,market,sector,status,date,signal_state,trigger_type,trigger_score,valuation_score,quality_score,event_risk_score,conviction_score,trigger_price,stop_price,target_zone_low,target_zone_high,zone_distance,value_score,entry_recommendation,reasons,invalidation_conditions,event_summary
002241.SZ,歌尔股份,CN,消费电子,watch,2026-05-13,invalidated,breakout,55.9,15.0,20.0,0.0,62.9,26.139999389648438,26.510000419616702,,,,40.0,,trigger=breakout; value_score=40.0; valuation_score=15.0; quality_score=20.0; volume_spike=1.79x,close < 26.51; below_ma200=28.02,
002602.SZ,世纪华通,CN,传媒游戏,watch,2026-05-13,invalidated,,5.85,10.0,10.0,0.0,9.85,15.069999694824219,16.57699966430664,,,,25.0,,trigger=none; value_score=25.0; valuation_score=10.0; quality_score=10.0; volume_spike=1.09x,close < 16.58; below_ma200=17.15,
002624.SZ,完美世界,CN,传媒游戏,watch,2026-05-13,watch,,11.88,0.0,20.0,0.0,15.88,16.959999084472656,16.73100004196167,,,,25.0,,trigger=none; value_score=25.0; valuation_score=0.0; quality_score=20.0; volume_spike=0.59x,close < 16.73; below_ma200=17.22,
